Referee,Team,Fouls,YellowCards,RedCards
M Dean,Arsenal,2.485942290357333,3.0938089195571163,2.345826087781882
M Dean,Chelsea,3.0500531751002846,3.3951131833311083,4.00822252794227
M Dean,Liverpool,-0.9505952833640965,-1.0114616743635263,-0.9789667925388955
M Dean,Man City,3.121377539837899,3.0938089195571163,4.562354674662401
M Dean,Man United,3.3742548329985325,3.3574501503593592,1.2375617943416226
M Dean,Tottenham,2.5832027877268073,2.792504655783124,1.7916939410617523
M Atkinson,Arsenal,1.7856667092971172,1.8509288314893988,2.8999582345020114
M Atkinson,Chelsea,1.1956196919223057,1.0600051390826695,0.6834296476214932
M Atkinson,Liverpool,2.291421295618384,1.6249506336589046,1.7916939410617523
M Atkinson,Man City,1.8180868750869421,2.039243996348144,0.6834296476214932
M Atkinson,Man United,1.8051188087710122,1.7379397325741517,0.6834296476214932
M Atkinson,Tottenham,1.2604600235019554,1.1353312050261675,1.2375617943416226
A Marriner,Arsenal,0.9362583656037073,0.4573966115346853,0.6834296476214932
A Marriner,Chelsea,0.994614664025392,0.9846790731391715,0.1292975009013636
A Marriner,Liverpool,1.6235658803479933,1.6249506336589046,0.1292975009013636
A Marriner,Man City,2.0969003008794354,2.039243996348144,0.6834296476214932
A Marriner,Man United,1.0400028961311467,0.8716899742239245,1.7916939410617523
A Marriner,Tottenham,1.3642045540293948,1.1729942379979166,-0.42483464581876595
M Oliver,Arsenal,1.973703670878101,2.039243996348144,2.345826087781882
M Oliver,Chelsea,1.2150717913962006,0.9093530071956735,0.1292975009013636
M Oliver,Liverpool,1.9088633392984515,1.5496245677154066,-0.42483464581876595
M Oliver,Man City,1.169683559290446,0.9846790731391715,-0.9789667925388955
M Oliver,Man United,1.2863961561338153,1.4366354688001597,0.6834296476214932
M Oliver,Tottenham,1.636533946663923,1.5872876006871557,1.7916939410617523
A Taylor,Arsenal,1.2215558245541656,1.5119615347436577,2.345826087781882
A Taylor,Chelsea,1.1113272608687612,2.1145700622916417,-0.42483464581876595
A Taylor,Liverpool,2.2395490303546643,2.641852523896128,0.6834296476214932
A Taylor,Man City,0.4175357129665104,0.4950596445064343,0.6834296476214932
A Taylor,Man United,1.4355289187670093,2.076907029319893,0.1292975009013636
A Taylor,Tottenham,0.988130630867427,1.1729942379979166,0.6834296476214932
J Moss,Arsenal,0.10630212138419223,0.04310324884544614,0.6834296476214932
J Moss,Chelsea,0.06739792243640247,0.6080487434216814,-0.42483464581876595
J Moss,Liverpool,-0.04283064124900188,-0.6724943776177851,0.6834296476214932
J Moss,Man City,0.04794582296250759,-0.0698858500698009,-0.42483464581876595
J Moss,Man United,1.0594549956050416,0.9093530071956735,0.1292975009013636
J Moss,Tottenham,0.4110516798085454,0.15609234776069317,0.6834296476214932
P Dowd,Arsenal,0.04794582296250759,0.2314184137041912,0.1292975009013636
P Dowd,Chelsea,0.6120567077054593,0.41973357856293625,2.345826087781882
P Dowd,Liverpool,1.513337316662589,1.1353312050261675,0.6834296476214932
P Dowd,Man City,0.7936096361284781,0.7587008753086774,0.6834296476214932
P Dowd,Man United,0.3980836134926155,0.4573966115346853,2.345826087781882
P Dowd,Tottenham,0.6963491387590037,0.5327226774781832,1.2375617943416226
M Clattenburg,Arsenal,0.6055726745474943,0.4950596445064343,-0.42483464581876595
M Clattenburg,Chelsea,0.3526953813868608,0.2314184137041912,0.6834296476214932
M Clattenburg,Liverpool,-0.029862574933071952,-0.03222281709805189,-0.42483464581876595
M Clattenburg,Man City,0.8714180340240577,0.9093530071956735,1.7916939410617523
M Clattenburg,Man United,0.650960906653249,0.41973357856293625,2.345826087781882
M Clattenburg,Tottenham,0.8779020671820227,0.7963639082804264,-0.42483464581876595
H Webb,Arsenal,0.6704130061271438,1.1353312050261675,1.2375617943416226
H Webb,Chelsea,0.8714180340240577,1.3613094028566617,-0.9789667925388955
H Webb,Liverpool,0.9557104650776022,0.2690814466759402,-0.42483464581876595
H Webb,Man City,0.21653068506959658,0.11842931478894417,-0.42483464581876595
H Webb,Man United,1.0853911282369013,1.3613094028566617,0.6834296476214932
H Webb,Tottenham,0.46940797823023006,0.005440215873697127,0.1292975009013636
C Pawson,Arsenal,0.04794582296250759,0.08076628181719515,0.1292975009013636
C Pawson,Chelsea,-0.16602727125033614,-0.0698858500698009,1.2375617943416226
C Pawson,Liverpool,0.22301471822756155,-0.03222281709805189,-0.9789667925388955
C Pawson,Man City,-0.3929684317791098,-0.25820101492854597,-0.9789667925388955
C Pawson,Man United,0.6315088071793541,0.9470160401674225,-0.9789667925388955
C Pawson,Tottenham,0.6250247740213891,0.9093530071956735,0.1292975009013636
K Friend,Arsenal,-0.5031969954645141,-0.14521191601329891,-0.9789667925388955
K Friend,Chelsea,0.08685002191029735,-0.18287494898504794,-0.9789667925388955
K Friend,Liverpool,0.33972731507093085,0.005440215873697127,0.1292975009013636
K Friend,Man City,-0.27625583493574046,-0.10754888304154991,-0.9789667925388955
K Friend,Man United,-0.35406423283132005,-0.29586404790029497,-0.9789667925388955
K Friend,Tottenham,-0.010410475459177069,0.11842931478894417,-0.9789667925388955
L Mason,Arsenal,-0.029862574933071952,0.08076628181719515,-0.42483464581876595
L Mason,Chelsea,-0.04283064124900188,-0.10754888304154991,-0.42483464581876595
L Mason,Liverpool,-0.04283064124900188,-0.18287494898504794,0.6834296476214932
L Mason,Man City,0.15169035348994697,0.08076628181719515,0.6834296476214932
L Mason,Man United,-0.36703229914724994,-0.33352708087204397,0.1292975009013636
L Mason,Tottenham,-0.5096810286224791,-0.5218422457307891,0.1292975009013636
M Halsey,Arsenal,-0.522649094938409,-0.8608095424765302,0.6834296476214932
M Halsey,Chelsea,0.32675924875500095,0.08076628181719515,0.1292975009013636
M Halsey,Liverpool,0.1970785855957017,-0.6348313446460361,0.1292975009013636
M Halsey,Man City,-0.3475801996733551,-0.8608095424765302,-0.42483464581876595
M Halsey,Man United,0.022009690330647737,-0.6348313446460361,-0.9789667925388955
M Halsey,Tottenham,-0.3929684317791098,-0.6724943776177851,0.1292975009013636
C Foy,Arsenal,-0.15954323809237117,-0.8231465095047812,0.6834296476214932
C Foy,Chelsea,-0.3086760007255653,-0.5971683116742871,2.345826087781882
C Foy,Liverpool,-1.7416473286358218,-1.4634180700245143,-0.9789667925388955
C Foy,Man City,0.6315088071793541,0.4573966115346853,-0.9789667925388955
C Foy,Man United,0.13872228717401705,0.005440215873697127,-0.9789667925388955
C Foy,Tottenham,0.19059455243773674,-0.48417921275904,0.1292975009013636
A Wiley,Arsenal,0.8908701334979525,0.5703857104499324,0.1292975009013636
A Wiley,Chelsea,0.06091388927843751,0.08076628181719515,-0.42483464581876595
A Wiley,Liverpool,0.5601844424417396,-0.0698858500698009,0.1292975009013636
A Wiley,Man City,-0.14657517177644125,-0.5595052787025381,0.6834296476214932
A Wiley,Man United,0.07388195559436743,-0.10754888304154991,-0.42483464581876595
A Wiley,Tottenham,-0.43835666388486455,-0.408853146815542,-0.9789667925388955
S Bennett,Arsenal,0.041461789804542626,-0.22053798195679694,-0.42483464581876595
S Bennett,Chelsea,-0.21141550335609088,-0.33352708087204397,0.1292975009013636
S Bennett,Liverpool,0.22301471822756155,-0.14521191601329891,0.6834296476214932
S Bennett,Man City,0.07388195559436743,-0.0698858500698009,0.1292975009013636
S Bennett,Man United,0.28785504980721116,0.5703857104499324,0.6834296476214932
S Bennett,Tottenham,-0.15305920493440622,-0.0698858500698009,-0.42483464581876595
P Tierney,Arsenal,-0.44484069704282947,-0.14521191601329891,0.6834296476214932
P Tierney,Chelsea,-0.35406423283132005,-0.48417921275904,0.1292975009013636
P Tierney,Liverpool,0.33324328191296587,0.30674447964768925,0.1292975009013636
P Tierney,Man City,-0.3800003654631799,-0.33352708087204397,-0.9789667925388955
P Tierney,Man United,-0.3864843986211448,-0.0698858500698009,-0.9789667925388955
P Tierney,Tottenham,-0.522649094938409,-0.29586404790029497,-0.9789667925388955
R Styles,Arsenal,-0.5745213602021287,-0.446516179787291,0.6834296476214932
R Styles,Chelsea,-0.010410475459177069,-0.10754888304154991,-0.42483464581876595
R Styles,Liverpool,-0.522649094938409,-0.6348313446460361,-0.42483464581876595
R Styles,Man City,-0.45132473020079444,-0.48417921275904,0.1292975009013636
R Styles,Man United,-0.44484069704282947,-0.29586404790029497,0.1292975009013636
R Styles,Tottenham,-0.5031969954645141,-0.22053798195679694,0.1292975009013636
M Jones,Arsenal,-0.48374489599061926,-0.408853146815542,-0.42483464581876595
M Jones,Chelsea,-0.4772608628326543,-0.6348313446460361,0.1292975009013636
M Jones,Liverpool,-0.9700473828379914,-0.8608095424765302,0.1292975009013636
M Jones,Man City,-0.3800003654631799,-0.5971683116742871,1.2375617943416226
M Jones,Man United,-0.5615532938861988,-0.8231465095047812,-0.9789667925388955
M Jones,Tottenham,-0.3735163323052149,-0.25820101492854597,-0.42483464581876595
S Attwell,Arsenal,-0.5874894265180587,0.005440215873697127,0.1292975009013636
S Attwell,Chelsea,-0.39945246493707476,-0.0698858500698009,0.1292975009013636
S Attwell,Liverpool,-0.6263936254658484,-0.7854834765330322,-0.9789667925388955
S Attwell,Man City,-0.8468507528366571,-0.5595052787025381,0.6834296476214932
S Attwell,Man United,-0.5550692607282338,-0.0698858500698009,-0.9789667925388955
S Attwell,Tottenham,-0.6134255591499185,-0.18287494898504794,-0.9789667925388955
M Riley,Arsenal,-0.18547937072423104,-0.5218422457307891,-0.42483464581876595
M Riley,Chelsea,0.15169035348994697,0.04310324884544614,1.2375617943416226
M Riley,Liverpool,0.313791182439071,0.34440751261943825,-0.42483464581876595
M Riley,Man City,-0.4189045644109696,-0.5595052787025381,-0.42483464581876595
M Riley,Man United,0.17762648612180681,0.08076628181719515,-0.42483464581876595
M Riley,Tottenham,-0.6523297580977082,-0.48417921275904,-0.42483464581876595
G Poll,Arsenal,0.15817438664791192,-0.33352708087204397,-0.42483464581876595
G Poll,Chelsea,0.2813710166492462,0.1937553807324422,0.1292975009013636
G Poll,Liverpool,-0.16602727125033614,-0.5218422457307891,-0.9789667925388955
G Poll,Man City,-0.5550692607282338,-0.48417921275904,0.1292975009013636
G Poll,Man United,0.37863151401872064,0.11842931478894417,0.1292975009013636
G Poll,Tottenham,-0.7949784875729374,-0.8608095424765302,-0.42483464581876595
P Walton,Arsenal,-1.0608238470495008,-0.8984725754482792,-0.42483464581876595
P Walton,Chelsea,-0.8598188191525871,-0.6724943776177851,0.1292975009013636
P Walton,Liverpool,-0.4318726307268996,-0.5595052787025381,-0.9789667925388955
P Walton,Man City,-0.9246591507322366,-0.6724943776177851,0.1292975009013636
P Walton,Man United,-0.7042020233614279,-0.7854834765330322,-0.42483464581876595
P Walton,Tottenham,-0.9570793165220615,-0.9361356084200282,-0.42483464581876595
C Kavanagh,Arsenal,-0.35406423283132005,-0.0698858500698009,0.1292975009013636
C Kavanagh,Chelsea,-0.8727868854685169,-0.446516179787291,-0.9789667925388955
C Kavanagh,Liverpool,-0.529133128096374,-0.6724943776177851,-0.9789667925388955
C Kavanagh,Man City,-1.1451162781030453,-0.8608095424765302,-0.9789667925388955
C Kavanagh,Man United,-0.6069415259919535,-0.29586404790029497,-0.42483464581876595
C Kavanagh,Tottenham,-0.6134255591499185,-0.446516179787291,-0.9789667925388955
L Probert,Arsenal,-1.0673078802074658,-1.1997768392222712,-0.42483464581876595
L Probert,Chelsea,-0.9441112502061315,-0.8984725754482792,-0.9789667925388955
L Probert,Liverpool,-0.9505952833640965,-1.0491247073352752,-0.9789667925388955
L Probert,Man City,-0.8922389849424118,-0.7478204435612831,-0.42483464581876595
L Probert,Man United,-0.9635633496800264,-1.1244507732787732,-0.42483464581876595
L Probert,Tottenham,-0.8727868854685169,-0.8608095424765302,-0.42483464581876595
N Swarbrick,Arsenal,-1.1710524107349052,-0.8984725754482792,-0.9789667925388955
N Swarbrick,Chelsea,-1.034887714417641,-1.0114616743635263,-0.9789667925388955
N Swarbrick,Liverpool,-0.9181751175742717,-0.7101574105895341,-0.9789667925388955
N Swarbrick,Man City,-1.196988543366765,-0.8608095424765302,-0.9789667925388955
N Swarbrick,Man United,-0.9959835154698512,-0.7854834765330322,-0.9789667925388955
N Swarbrick,Tottenham,-1.015435614943746,-0.9737986413917772,-0.9789667925388955
U Rennie,Arsenal,-1.0932440128393257,-1.0867877403070243,-0.9789667925388955
U Rennie,Chelsea,-1.3201851733680994,-1.1244507732787732,-0.9789667925388955
U Rennie,Liverpool,-0.6328776586238134,-0.8984725754482792,-0.9789667925388955
U Rennie,Man City,-0.8468507528366571,-1.0491247073352752,-0.9789667925388955
U Rennie,Man United,-1.1905045102088,-1.1997768392222712,-0.42483464581876595
U Rennie,Tottenham,-0.10767097282865148,-0.446516179787291,-0.42483464581876595
D Coote,Arsenal,-1.0737919133654308,-0.8984725754482792,-0.42483464581876595
D Coote,Chelsea,-0.6523297580977082,-0.371190113843793,0.1292975009013636
D Coote,Liverpool,-1.5665784333707677,-1.2374398721940203,-0.9789667925388955
D Coote,Man City,-1.4109616375796088,-1.3880920040810163,-0.9789667925388955
D Coote,Man United,-1.2358927423145547,-1.0491247073352752,-0.9789667925388955
D Coote,Tottenham,-0.8857549517844469,-0.5595052787025381,0.1292975009013636
R Madley,Arsenal,-1.3266692065260643,-1.1244507732787732,-0.9789667925388955
R Madley,Chelsea,-1.1256641786291504,-1.0491247073352752,-0.42483464581876595
R Madley,Liverpool,-1.1905045102088,-0.9737986413917772,-0.9789667925388955
R Madley,Man City,-0.9441112502061315,-0.8984725754482792,-0.42483464581876595
R Madley,Man United,-1.2488608086304847,-1.0114616743635263,-0.9789667925388955
R Madley,Tottenham,-1.1321482117871153,-0.7478204435612831,-0.9789667925388955
G Scott,Arsenal,-1.1710524107349052,-1.0114616743635263,0.1292975009013636
G Scott,Chelsea,-1.4693179360012933,-1.3127659381375183,-0.9789667925388955
G Scott,Liverpool,-1.5730624665287327,-1.4634180700245143,-0.9789667925388955
G Scott,Man City,-1.4693179360012933,-1.3504289711092674,-0.42483464581876595
G Scott,Man United,-1.352605339157924,-1.2751029051657694,-0.9789667925388955
G Scott,Tottenham,-0.9441112502061315,-0.7478204435612831,-0.42483464581876595
