,MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,Referee,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards
2660,2000-2001_Charlton_Man City,2000-2001,1,2000-08-19,Charlton,Man City,4,0,H,Rob Harris,13.0,12.0,1.0,2.0,0.0,0.0
2661,2000-2001_Chelsea_West Ham,2000-2001,1,2000-08-19,Chelsea,West Ham,4,2,H,Graham Barber,19.0,14.0,1.0,2.0,0.0,0.0
2662,2000-2001_Coventry_Middlesbrough,2000-2001,1,2000-08-19,Coventry,Middlesbrough,1,3,A,Barry Knight,15.0,21.0,5.0,3.0,1.0,0.0
2663,2000-2001_Derby_Southampton,2000-2001,1,2000-08-19,Derby,Southampton,2,2,D,Andy D'Urso,11.0,13.0,1.0,1.0,0.0,0.0
2664,2000-2001_Leeds_Everton,2000-2001,1,2000-08-19,Leeds,Everton,2,0,H,Dermot Gallagher,21.0,20.0,1.0,3.0,0.0,0.0
2665,2000-2001_Leicester_Aston Villa,2000-2001,1,2000-08-19,Leicester,Aston Villa,0,0,D,Mike Riley,12.0,12.0,2.0,3.0,0.0,0.0
2666,2000-2001_Liverpool_Bradford,2000-2001,1,2000-08-19,Liverpool,Bradford,1,0,H,Paul Durkin,8.0,8.0,1.0,1.0,0.0,0.0
2667,2000-2001_Sunderland_Arsenal,2000-2001,1,2000-08-19,Sunderland,Arsenal,1,0,H,Steve Dunn,10.0,21.0,3.0,1.0,0.0,1.0
2668,2000-2001_Tottenham_Ipswich,2000-2001,1,2000-08-19,Tottenham,Ipswich,3,1,H,Alan Wiley,14.0,13.0,0.0,0.0,0.0,0.0
2669,2000-2001_Man United_Newcastle,2000-2001,1,2000-08-20,Man United,Newcastle,2,0,H,Steve Lodge,7.0,13.0,0.0,1.0,0.0,0.0
2670,2000-2001_Arsenal_Liverpool,2000-2001,1,2000-08-21,Arsenal,Liverpool,2,0,H,Graham Poll,25.0,20.0,2.0,4.0,1.0,2.0
2671,2000-2001_Bradford_Chelsea,2000-2001,1,2000-08-22,Bradford,Chelsea,2,0,H,Mark Halsey,14.0,16.0,0.0,1.0,0.0,0.0
2672,2000-2001_Ipswich_Man United,2000-2001,1,2000-08-22,Ipswich,Man United,1,1,D,Jeff Winter,10.0,7.0,1.0,4.0,0.0,0.0
2673,2000-2001_Middlesbrough_Tottenham,2000-2001,1,2000-08-22,Middlesbrough,Tottenham,1,1,D,Peter Jones,9.0,18.0,2.0,1.0,0.0,0.0
2674,2000-2001_Everton_Charlton,2000-2001,1,2000-08-23,Everton,Charlton,3,0,H,Andy Hall,17.0,15.0,2.0,1.0,0.0,1.0
2675,2000-2001_Man City_Sunderland,2000-2001,1,2000-08-23,Man City,Sunderland,4,2,H,David Ellaray,24.0,14.0,3.0,3.0,0.0,0.0
2676,2000-2001_Newcastle_Derby,2000-2001,1,2000-08-23,Newcastle,Derby,3,2,H,Dermot Gallagher,23.0,11.0,0.0,3.0,1.0,0.0
2677,2000-2001_Southampton_Coventry,2000-2001,1,2000-08-23,Southampton,Coventry,1,2,A,F Taylor,18.0,20.0,5.0,3.0,0.0,0.0
2678,2000-2001_West Ham_Leicester,2000-2001,1,2000-08-23,West Ham,Leicester,0,1,A,Rob Styles,16.0,14.0,3.0,3.0,1.0,0.0
2679,2000-2001_Arsenal_Charlton,2000-2001,2,2000-08-26,Arsenal,Charlton,5,3,H,Steve Lodge,12.0,15.0,0.0,1.0,0.0,0.0
2680,2000-2001_Bradford_Leicester,2000-2001,2,2000-08-26,Bradford,Leicester,0,0,D,Steve Bennett,11.0,12.0,1.0,2.0,0.0,0.0
2681,2000-2001_Everton_Derby,2000-2001,2,2000-08-26,Everton,Derby,2,2,D,Mike Riley,11.0,9.0,2.0,3.0,0.0,0.0
2682,2000-2001_Ipswich_Sunderland,2000-2001,2,2000-08-26,Ipswich,Sunderland,1,0,H,Graham Poll,10.0,12.0,1.0,1.0,0.0,0.0
2683,2000-2001_Man City_Coventry,2000-2001,2,2000-08-26,Man City,Coventry,1,2,A,Andy D'Urso,7.0,12.0,2.0,3.0,0.0,0.0
2684,2000-2001_Middlesbrough_Leeds,2000-2001,2,2000-08-26,Middlesbrough,Leeds,1,2,A,Graham Barber,12.0,20.0,2.0,0.0,0.0,0.0
2685,2000-2001_Newcastle_Tottenham,2000-2001,2,2000-08-26,Newcastle,Tottenham,2,0,H,David Ellaray,13.0,10.0,0.0,0.0,0.0,0.0
2686,2000-2001_Southampton_Liverpool,2000-2001,2,2000-08-26,Southampton,Liverpool,3,3,D,Jeff Winter,7.0,6.0,0.0,0.0,0.0,0.0
2687,2000-2001_West Ham_Man United,2000-2001,2,2000-08-26,West Ham,Man United,2,2,D,Dermot Gallagher,12.0,9.0,1.0,0.0,0.0,0.0
2688,2000-2001_Aston Villa_Chelsea,2000-2001,2,2000-08-27,Aston Villa,Chelsea,1,1,D,Paul Durkin,13.0,12.0,0.0,1.0,0.0,0.0
2689,2000-2001_Leeds_Man City,2000-2001,3,2000-09-05,Leeds,Man City,1,2,A,Graham Poll,18.0,24.0,2.0,2.0,0.0,0.0
2690,2000-2001_Man United_Bradford,2000-2001,3,2000-09-05,Man United,Bradford,6,0,H,Ian Harris,12.0,10.0,0.0,1.0,0.0,0.0
2691,2000-2001_Sunderland_West Ham,2000-2001,3,2000-09-05,Sunderland,West Ham,1,1,D,Peter Jones,19.0,14.0,2.0,3.0,0.0,0.0
2692,2000-2001_Tottenham_Everton,2000-2001,3,2000-09-05,Tottenham,Everton,3,2,H,Barry Knight,11.0,10.0,1.0,2.0,0.0,0.0
2693,2000-2001_Charlton_Southampton,2000-2001,3,2000-09-06,Charlton,Southampton,1,1,D,Mark Halsey,14.0,16.0,3.0,3.0,1.0,0.0
2694,2000-2001_Chelsea_Arsenal,2000-2001,3,2000-09-06,Chelsea,Arsenal,2,2,D,Mike Riley,16.0,22.0,3.0,1.0,0.0,0.0
2695,2000-2001_Coventry_Newcastle,2000-2001,3,2000-09-06,Coventry,Newcastle,0,2,A,Alan Wiley,11.0,18.0,1.0,1.0,0.0,0.0
2696,2000-2001_Derby_Middlesbrough,2000-2001,3,2000-09-06,Derby,Middlesbrough,3,3,D,Rob Styles,8.0,10.0,3.0,2.0,0.0,0.0
2697,2000-2001_Leicester_Ipswich,2000-2001,3,2000-09-06,Leicester,Ipswich,2,1,H,Paul Taylor,12.0,13.0,1.0,1.0,0.0,0.0
2698,2000-2001_Liverpool_Aston Villa,2000-2001,3,2000-09-06,Liverpool,Aston Villa,3,1,H,Neale Barry,13.0,7.0,0.0,2.0,0.0,0.0
2699,2000-2001_Bradford_Arsenal,2000-2001,4,2000-09-09,Bradford,Arsenal,1,1,D,Alan Wiley,17.0,13.0,0.0,2.0,0.0,0.0
2700,2000-2001_Coventry_Leeds,2000-2001,4,2000-09-09,Coventry,Leeds,0,0,D,Paul Durkin,15.0,14.0,2.0,2.0,0.0,0.0
